No,prompt,affiliations,department,occupation,employment_type,lastname,firstname,employee_number, employee_number_range,status
1,田町に所属する従業員を表示してください。,"[""田町""]",,,,,,,,
2,田町かつ人事部に所属する従業員を表示してください。,"[""田町""]","[""人事部""]",,,,,,,
3,営業の従業員を表示してください。,,,"[""営業""]",,,,,,
4,在籍の従業員を除き、姓が田中の従業員を表示してください。,,,,,"[""田中""]",,,,"[""!在籍""]"
5,田町の人事部に所属している営業の従業員で、正社員の契約をしている方を表示してください。,"[""田町""]","[""人事部""]","[""営業""]","[""正社員""]",,,,,
6,田町の人事部に所属し、職種が営業で契約種別が正社員かつ在籍状況が在籍の従業員を検索してください。,"[""田町""]","[""人事部""]","[""営業""]","[""正社員""]",,,,,"[""在籍""]"
7,A1からA2の間に在籍の従業員を探してください。,,,,,,,,"[""A1"",""A2""]","[""在籍""]"
8,A1の従業員を表示してください。,,,,,,,"[""A1""]",,
9,田町の事業所で、A1からA2までの従業員を検索してください。,"[""田町""]",,,,,,,"[""A1"",""A2""]",
10,人事部または広報部に所属している在籍の正社員の従業員を検索してください。,,"[""人事部"",""広報部""]",,"[""正社員""]",,,,,"[""在籍""]"
11,池袋に所属する従業員を表示してください。,"[""池袋""]",,,,,,,,
12,田町かつ広報部に所属する従業員を表示してください。,"[""田町""]","[""広報部""]",,,,,,,
13,田町かつIT部に所属する従業員を表示してください。,"[""田町""]","[""IT部""]",,,,,,,
14,池袋かつ人事部に所属する従業員を表示してください。,"[""池袋""]","[""人事部""]",,,,,,,
15,池袋かつ広報部に所属する従業員を表示してください。,"[""池袋""]","[""広報部""]",,,,,,,
16,池袋かつIT部に所属する従業員を表示してください。,"[""池袋""]","[""IT部""]",,,,,,,
17,人事の従業員を表示してください。,,,"[""人事""]",,,,,,
18,経理の従業員を表示してください。,,,"[""経理""]",,,,,,
19,開発の従業員を表示してください。,,,"[""開発""]",,,,,,
20,退職済みの従業員を除き、姓が上田の従業員を表示してください。,,,,,"[""上田""]",,,,"[""!退職済み""]"
21,退職済みの従業員を除き、姓が佐藤の従業員を表示してください。,,,,,"[""佐藤""]",,,,"[""!退職済み""]"
22,在籍の従業員を除き、姓が境の従業員を表示してください。,,,,,"[""境""]",,,,"[""!在籍""]"
23,退職済みの従業員を除き、姓が上田の従業員を表示してください。,,,,,"[""上田""]",,,,"[""!退職済み""]"
24,田町の人事部に所属している営業の従業員で、パートタイムの契約をしている方を表示してください。,"[""田町""]","[""人事部""]","[""営業""]","[""パートタイム""]",,,,,
25,池袋のIT部に所属している経理の従業員で、試用社員の契約をしている方を表示してください。,"[""池袋""]","[""IT部""]","[""経理""]","[""試用社員""]",,,,,
26,池袋の広報部に所属している営業の従業員で、リモートワーカーの契約をしている方を表示してください。,"[""池袋""]","[""広報部""]","[""営業""]","[""リモートワーカー""]",,,,,
27,田町の人事部に所属し、職種が人事で契約種別がパートタイムかつ在籍状況が離職の従業員を検索してください。,"[""田町""]","[""人事部""]","[""人事""]","[""パートタイム""]",,,,,"[""離職""]"
28,池袋のIT部に所属し、職種が開発で契約種別が季節労働者かつ在籍状況が退職済みの従業員を検索してください。,"[""池袋""]","[""IT部""]","[""開発""]","[""季節労働者""]",,,,,"[""退職済み""]"
29,A1からC3の間に退職済みの従業員を探してください。,,,,,,,,"[""A1"", ""C3""]","[""退職済み""]"
30,A2からB1の間に離職の従業員を探してください。,,,,,,,,"[""A2"",""B1""]","[""離職""]"
31,B1の従業員を表示してください。,,,,,,,"[""B1""]",,
32,池袋の事業所で、A1からC3までの従業員を検索してください。,"[""池袋""]",,,,,,,"[""A1"",""C3""]",
33,広報部またはIT部に所属している在籍の契約社員の従業員を検索してください。,,"[""広報部"",""IT部""]",,"[""契約社員""]",,,,,"[""在籍""]"
34,田町。,"[""田町""]",,,,,,,,
35,上田。,,,,,"[""上田""]",,,,
36,和也。,,,,,,"[""和也""]",,,
37,翼。,,,,,,"[""翼""]",,,
38,井上。,,,,,"[""井上""]",,,,
39,N001。,,,,,,,"[""N001""]",,
40,佐藤 健太。,,,,,"[""佐藤""]","[""健太""]",,,
41,小林 一郎。,,,,,"[""小林""]","[""一郎""]",,,
42,渡辺さんという社員の社員番号はM9です。,,,,,"[""渡辺""]",,"[""M9""]",,
43,名前が大輔で、社員番号がN1001からN1009の間の社員を探しています。,,,,,,"[""大輔""]",,"[""N1001"", ""N1009""]",
44,現在勤務中で、フルタイムの形態で働いている従業員を探してください。,,,,"[""正社員""]",,,,,"[""在籍""]"
45,以下の人物についての勤務状況を確認してください：佐藤太郎、鈴木花子、高橋一郎、田中美咲、伊藤健太、渡辺優子、山本翔、中村真由美、小林直樹、加藤愛、吉田大輔、山田さくら、佐々木誠、斉藤奈々、松本悠。,,,,,"[""佐藤"", ""鈴木"", ""高橋"", ""田中"", ""伊藤"", ""渡辺"", ""山本"", ""中村"", ""小林"", ""加藤"", ""吉田"", ""山田"", ""佐々木"", ""斉藤"", ""松本""]","[""太郎"", ""花子"", ""一郎"", ""美咲"", ""健太"", ""優子"", ""翔"", ""真由美"", ""直樹"", ""愛"", ""大輔"", ""さくら"", ""誠"", ""奈々"", ""悠""]",,, 
